"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7800","B","","","0"
"2013","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7300","B","","","0"
"2014","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7900","B","","","0"
"2015","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7700","B","","","0"
"2016","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7500","B","","","0"
"2017","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7200","B","","","0"
"2018","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7500","B","","","0"
"2019","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","7800","B","","","0"
"2020","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","8400","B","","","0"
"2021","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","9900","A","","","0"
"2022","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","9700","A","","","0"
"2023","Quebec","2021A000224","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413411","7.10.1","9100","A","","","0"
"2009","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","10200","B","","","0"
"2010","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","10200","B","","","0"
"2011","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","11100","B","","","0"
"2012","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12600","B","","","0"
"2013","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12400","B","","","0"
"2014","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12600","B","","","0"
"2015","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12800","B","","","0"
"2016","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","13100","B","","","0"
"2017","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12600","B","","","0"
"2018","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","12900","B","","","0"
"2019","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","13700","B","","","0"
"2020","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","15000","B","","","0"
"2021","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","16200","B","","","0"
"2022","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","16000","A","","","0"
"2023","Quebec","2021A000224","Median income tax","Economic families","2023 constant dollars","449","units","0","v96413412","7.10.2","14800","A","","","0"
"2009","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2200","E","","","0"
"2010","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2500","E","","","0"
"2011","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","2800","D","","","0"
"2012","Quebec","2021A000224","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96413424","7.10.14","3100","D","","","0"
